creation_date,accession_number,artist,credit_line,display_title,display_dimensions,medium,media_support,facility,current_location,location_description,street_address_or_intersection,zip_code,latitude,longitude,number_of_districts,cultural_districts,supervisor_district,the_geom,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods
1987,1987.44.p,"Kogure, Kimiko",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Stern Grove Historic Renovation,Stern Grove Trocadero Clubhouse [double door window],35 x 22 in.,Stained glass,Stained glass on wood,Trocadero Clubhouse,Public Display,Stern Grove Entry Rd.,Stern Grove Entry Road & Wawona Street,94132,37.74024621600006,-122.46773612799997,0,,07,POINT (-122.46773612799997 37.74024621600006),46,10,8,41,46
2019,T2018.30b,"De Othello, Woody",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for San Francisco International Airport,Turn,6ft x 4ft x 2ft,Bronze,Bronze,International Terminal,SFO,BA/G : Outdoor Terrace,,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
,2003.6,"MacDonald, Robert","Collection of the City and County of San Francisco; Gift of sculptor Richard MacDonald and friends of Willie Lewis Brown, Jr.",Willlie L. Brown,85  x 22  x 22 in.,Bronze,Bronze on marble,City Hall,Public Display,"2nd floor, Mayor's Rotunda",1 Dr. Carlton B. Goodlet Place,94102,37.77939475800008,-122.41847662199996,0,,06,POINT (-122.41847662199996 37.77939475800008),21,4,10,36,21
1987,1987.44.l,"Kogure, Kimiko",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for Stern Grove Historic Renovation,Stern Grove Trocadero Clubhouse [second floor window],40 x 30 in.,Stained glass,Stained glass on wood,Trocadero Clubhouse,Public Display,Stern Grove Entry Rd.,Stern Grove Entry Road & Wawona Street,94132,37.74024621600006,-122.46773612799997,0,,07,POINT (-122.46773612799997 37.74024621600006),46,10,8,41,46
,2016.24.f,"Marsh, Vanessa","Collection of the City and County of San Francisco;
Purchased by the San Francisco Arts Commission and the Airport Commission for the San Francisco International Airport",Everywhere All at Once: Landscape #17,40 x 35 in.,Pigment print,Pigment print on archival paper,Terminal 3,SFO,Gate 71B,,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
1934,1934.19.c,"Oldfield, Otis",Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,Bay Area Map,108 x 54 in.,Oil,Oil on canvas,Coit Tower,Public Display,Elevator Lobby,1 Telegraph Hill Boulevard,94133,37.80231199100007,-122.40588401599994,0,,03,POINT (-122.40588401599994 37.80231199100007),18,6,3,23,18
1996,1996.7.e,"Yung, Rene",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Chinatown Branch of the San Francisco Public Library,lamp (Leaf),14 x 30 x 7 in.,Aluminum and lighting,Aluminum and lighting,Chinatown Library,Public Display,Reading Room,1135 Powell Street,94108,37.79523100100005,-122.41019499599999,0,,03,POINT (-122.41019499599999 37.79523100100005),16,6,3,6,16
2011,2011.6,"Echelman, Janet",Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,Every Beating Second,,,"Powder-coated steel, colored fiber, computer-programmed airflow and colored light, and terrazo floor",Terminal 2,SFO,"Departures Post-Security Recomposure Area, Level 2,BA/D",,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
2015,2015.2.a-c,"Kos, Paul",Collection of the City and County of San Francisco,First Responder Plaza,,"bronze, steel, paint, granite, landscape design","bronze, steel, paint, granite, landscape design",SFPD Public Safety Building,City Agency,Community Plaza,3rd Street & China Basin Street,94158,37.77202004500003,-122.38970987599998,0,,06,POINT (-122.38970987599998 37.77202004500003),34,1,10,4,34
2004-2009,2011.14.10,"deSoto, Lewis",Collection of the City and County of San Francisco,1974-1977: Gerald Simon Theater Entertains the Community,,cotton thread tapestry,cotton thread tapestry,Laguna Honda Hospital,City Agency,Link Building Level 1,375 Laguna Honda Boulevad,94131,37.74879299500003,-122.45581098899999,0,,07,POINT (-122.45581098899999 37.74879299500003),49,7,8,38,49
1995,1995.1,"Shum, Hilda",Collection of the City and County of San Francisco; Commissioned for the San Francisco Mental Health Rehabilitation Facility by the San Francisco Arts Commission,Games of the World,120  x 336 in.,Mixed media relief,Mixed media relief,San Francisco General Hospital,City Agency,Mental Health Rehabilitation Facility Ground Floor Entrance Lobby,1001 Portrero Avenue,94110,37.756327990000045,-122.40581696,0,,10,POINT (-122.40581696 37.756327990000045),54,3,9,20,54
2005,T2018.67,"O'Dell, Shaun",,Beyond When the Golden Portal Can Come,34 1/2 x 29 1/2 in.,,Color aquatint with hardground etching and hand coloring,Terminal 1,SFO,"Harvey Milk Terminal 1, Boarding Area B",,94128,37.620430000000056,-122.39916499999998,0,,,POINT (-122.39916499999998 37.620430000000056),,,,,
1934,1934.26,"Cunningham, Ben F.",Collection of the City and County of San Francisco; Commissioned by the Public Works of Art Project for Coit Tower,Outdoor Life,108 x 264 in.,Fresco,Fresco,Coit Tower,Public Display,2Nd Floor,1 Telegraph Hill Boulevard,94133,37.80231199100007,-122.40588401599994,0,,03,POINT (-122.40588401599994 37.80231199100007),18,6,3,23,18
2005,2005.2,"Saulls, Vicki",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the North Beach Pool,Nuotatori,29 x 244 x 3 in.,Polymer modified gypsum,Polymer modified gypsum on ceramic tile wall,North Beach Pool,Public Display,Natatorium Wall,"661 Lombard St, San Francisco, CA 94133",,37.80279600400007,-122.41231896999994,0,,03,POINT (-122.41231896999994 37.80279600400007),106,6,3,23,106
1997,1998.4.3,"deSoto, Lewis",Collection of the City and County of San Francisco; Commissioned by the San Francisco Arts Commission for the Civic Center Courthouse,Jury Assembly Room,30 x 60 x 60 in.,"Glass, stainless steel, and lighting","Glass, stainless steel, and lighting",Civic Center Courthouse,Public Display,Lower Level Jury Assembly Room,400 McAllister Street,94102,37.780413012000054,-122.41879499599997,0,,06,POINT (-122.41879499599997 37.780413012000054),21,4,10,36,21
